coin,target,money_list,hold,op_mode,yesterday_ma5,open_price
ENJ,1000000000000000,-1,False,False,0,0
SAND,1000000000000000,-1,False,False,0,0
TRX,1000000000000000,-1,False,False,0,0
BTT,1000000000000000,-1,False,False,0,0
XRP,1000000000000000,-1,False,False,0,0
DKA,1000000000000000,-1,False,False,0,0
MLK,1000000000000000,-1,False,False,0,0
AQT,1000000000000000,-1,False,False,0,0
MED,1000000000000000,-1,False,False,0,0
BTC,1000000000000000,-1,False,False,0,0
ADA,1000000000000000,-1,False,False,0,0
ETH,1000000000000000,-1,False,False,0,0
PCI,1000000000000000,-1,False,False,0,0
BORA,1000000000000000,-1,False,False,0,0
XEM,1000000000000000,-1,False,False,0,0
EOS,1000000000000000,-1,False,False,0,0
PUNDIX,1000000000000000,-1,False,False,0,0
MANA,1000000000000000,-1,False,False,0,0
QTUM,1000000000000000,-1,False,False,0,0
HBAR,1000000000000000,-1,False,False,0,0
VET,1000000000000000,-1,False,False,0,0
NEO,1000000000000000,-1,False,False,0,0
GAS,1000000000000000,-1,False,False,0,0
DOGE,1000000000000000,-1,False,False,0,0
