coin,target,money_list,hold,op_mode
ENJ,1000000000000000,-1,False,False
SAND,1000000000000000,-1,False,False
BTT,1000000000000000,-1,False,False
XRP,1000000000000000,-1,False,False
DKA,1000000000000000,-1,False,False
MLK,1000000000000000,-1,False,False
AQT,1000000000000000,-1,False,False
MED,1000000000000000,-1,False,False
BTC,1000000000000000,-1,False,False
ADA,1000000000000000,-1,False,False
ETH,1000000000000000,-1,False,False
BCH,1000000000000000,-1,False,False
PCI,1000000000000000,-1,False,False
BORA,1000000000000000,-1,False,False
XLM,1000000000000000,-1,False,False
